R,G,B,Skin_NonSkin
15,14,0,1
201,200,162,1
127,95,82,1
79,88,126,0
64,61,33,1
178,196,237,0
186,185,141,1
74,128,199,0
172,171,121,1
200,198,163,1
199,197,162,1
176,185,194,1
176,175,131,1
12,16,5,1
206,195,245,1
195,168,148,1
36,39,7,1
165,164,113,1
196,195,157,1
141,142,92,1
113,155,222,0
112,115,170,0
63,66,27,1
36,88,148,0
0,0,1,1
198,198,158,1
201,200,162,1
122,163,226,0
110,149,211,0
52,95,138,0
173,171,123,1
162,176,225,0
23,25,25,1
163,179,232,0
142,184,251,0
196,195,157,1
166,162,114,1
197,197,167,1
76,79,30,1
136,176,229,0
197,123,67,1
60,106,170,0
255,0,255,1
111,114,58,1
179,176,132,1
192,193,149,1
100,142,217,0
163,162,112,1
70,121,184,0
138,139,89,1
5,2,0,1
76,75,25,1
243,232,228,1
35,65,40,1
1,3,0,1
173,169,128,1
220,189,220,1
8,5,1,1
204,213,255,0
75,76,34,1
105,127,163,0
141,179,251,0
42,94,71,1
176,177,127,1
128,137,240,1
74,75,41,1
197,196,158,1
57,98,147,0
101,147,201,0
183,184,175,1
122,0,125,1
50,51,9,1
139,140,90,1
180,179,135,1
193,190,152,1
76,71,50,1
117,119,73,1
173,140,94,1
245,193,186,1
200,199,161,1
27,71,54,1
110,65,128,1
170,174,122,1
37,0,146,1
105,152,226,0
60,122,192,0
198,198,158,1
148,187,255,0
66,69,30,1
174,170,121,1
170,175,166,1
201,200,162,1
176,174,126,1
161,162,223,0
165,161,112,1
133,135,99,1
122,168,216,0
178,175,130,1
204,202,168,1
153,99,220,1
183,180,135,1
177,176,132,1
99,147,225,0
19,10,191,1
222,222,222,1
145,147,95,1
136,139,90,1
183,180,135,1
160,164,123,1
23,24,4,1
43,66,44,1
142,166,232,0
73,70,56,1
3,2,0,1
198,197,159,1
192,192,152,1
72,87,126,0
70,70,70,1
204,203,169,1
151,160,224,0
199,160,54,1
164,163,113,1
138,139,89,1
106,148,207,0
183,179,138,1
65,68,23,1
65,68,23,1
62,62,22,1
153,69,134,1
149,171,23,1
255,254,255,1
3,1,0,1
199,197,163,1
197,197,157,1
162,178,224,0
62,67,22,1
47,118,182,0
172,171,121,1
177,174,129,1
34,33,7,1
145,143,108,1
201,200,162,1
197,195,160,1
182,179,134,1
35,86,148,0
125,127,81,1
153,152,96,1
147,149,97,1
148,147,91,1
74,76,30,1
163,162,112,1
15,13,2,1
15,14,0,1
129,166,226,0
157,196,255,0
195,193,152,1
51,57,22,1
202,201,163,1
178,175,131,1
124,156,222,0
138,141,222,1
0,179,0,1
80,86,131,0
118,157,209,0
55,96,145,0
151,160,224,0
201,199,164,1
120,121,59,1
63,63,23,1
106,155,225,0
201,210,253,0
129,160,229,0
201,199,164,1
120,158,230,0
154,154,106,1
53,57,21,1
102,136,195,0
147,146,96,1
56,61,22,1
85,93,133,0
242,247,250,1
112,111,53,1
182,179,134,1
204,203,169,1
163,162,112,1
58,53,212,1
20,17,2,1
238,227,223,1
234,114,78,1
56,61,22,1
170,170,122,1
60,111,173,0
160,164,129,1
136,135,77,1
19,9,193,1
255,128,0,1
168,165,114,1
153,152,101,1
71,76,25,1
59,100,149,0
160,158,104,1
99,17,5,1
95,141,219,0
69,70,26,1
199,197,163,1
73,32,247,1
184,184,138,1
61,65,24,1
76,32,247,1
157,160,121,1
53,105,158,0
200,198,163,1
201,200,162,1
175,173,125,1
2,1,0,1
69,129,118,1
65,66,24,1
175,173,125,1
144,147,92,1
180,177,133,1
85,94,131,0
147,145,91,1
149,189,254,0
54,58,16,1
163,162,112,1
85,83,29,1
149,151,99,1
192,192,152,1
201,200,162,1
14,10,9,1
52,56,20,1
170,184,226,0
175,173,125,1
201,199,164,1
184,186,140,1
182,183,144,1
197,195,160,1
111,146,220,0
168,182,235,0
158,158,122,1
164,163,113,1
205,204,170,1
206,205,171,1
127,128,84,1
89,67,246,1
150,151,101,1
93,11,0,1
9,86,165,1
27,31,20,1
29,59,40,1
136,160,226,0
182,179,135,1
148,150,98,1
164,163,113,1
198,182,170,1
199,197,162,1
165,167,145,1
28,66,30,1
171,169,121,1
138,139,89,1
142,141,85,1
165,161,112,1
73,75,33,1
31,32,6,1
198,195,151,1
53,58,19,1
107,108,52,1
84,94,134,0
63,63,23,1
0,0,0,1
174,173,123,1
247,121,96,1
188,191,199,1
64,64,64,1
171,170,119,1
187,185,145,1
115,116,66,1
171,170,150,1
152,154,102,1
175,172,127,1
176,177,127,1
59,118,174,0
124,176,39,1
163,161,113,1
179,177,129,1
200,209,252,0
157,154,103,1
186,90,97,1
170,186,233,0
63,62,12,1
179,187,240,0
244,233,241,1
3,24,146,1
150,151,109,1
166,166,118,1
143,141,87,1
110,108,60,1
78,59,228,1
49,50,10,1
195,193,193,1
178,177,133,1
234,117,102,1
6,2,1,1
147,148,108,1
180,177,132,1
177,174,129,1
110,149,217,0
152,158,123,1
200,198,163,1
42,93,156,0
124,164,229,0
117,154,214,0
178,175,131,1
140,139,105,1
181,178,133,1
179,176,132,1
90,89,31,1
46,91,135,0
178,175,131,1
165,164,108,1
95,150,225,0
152,150,96,1
32,34,5,1
197,197,157,1
55,114,176,0
124,161,219,0
141,139,85,1
165,164,114,1
15,14,0,1
95,95,41,1
55,56,24,1
158,156,102,1
67,66,22,1
213,225,231,1
135,135,189,0
101,100,42,1
171,170,120,1
55,56,22,1
170,169,119,1
180,179,135,1
43,19,59,1
59,62,17,1
16,11,2,1
171,169,121,1
166,162,113,1
46,100,155,0
175,172,127,1
127,170,227,0
178,178,132,1
178,178,132,1
115,114,56,1
67,68,28,1
51,93,140,0
138,137,79,1
157,158,114,1
111,117,170,0
52,24,231,1
197,195,160,1
179,176,131,1
142,176,229,0
196,194,159,1
199,197,163,1
215,114,129,1
163,161,113,1
133,135,89,1
50,49,11,1
